OBJECTID,Venue_Name,Contact_Number,Address,Town,Civil_Marriage,Civil_Partnership,GlobalID,Website
1,Riada House,(028) 2766 0200,"14 Charles Street, Ballymoney, Co. Antrim",Ballymoney,Yes,Yes,00700a4b-b918-48c3-b7fd-6ffdcb16ef3b,https://www.causewaycoastandglens.gov.uk/live
2,Cloonavin,(028) 7034 7034,"66 Portstewart Road, Coleraine, Co. Londonderry",Coleraine,Yes,Yes,82750fd4-1ef0-4cd2-baa8-45ea5d912791,https://www.causewaycoastandglens.gov.uk/live
3,Limavady Council Offices,028 7772 2226,"7 Connell Street, Limavady, Co. Londonderry",Limavady,Yes,Yes,69dd7e1d-a635-4a4a-bce3-745937126d4e,https://www.causewaycoastandglens.gov.uk/live
4,Sheskburn House,(028) 2076 2225,"7 Mary Street, Ballycastle, Co. Antrim",Ballycastle,Yes,Yes,2f6c4a16-7141-414d-aea0-06801c9dc599,https://www.causewaycoastandglens.gov.uk/live
6,Lissanoure Castle,(028) 2764 1132,"Ballyveely Road, Loughguile, Co. Antrim",Loughguile,Yes,Yes,a0479a0f-8440-48b6-a3c5-c509ee41d1c9,http://lissanourecastle.com/weddings/
7,Lodge Hotel,(028) 7034 4848,"Lodge Park, Coleraine, Co. Londonderry",Coleraine,Yes,Yes,4befc9fd-0b19-4701-84a0-ff6eb68feb15,http://www.thelodgehotel.com/weddings.aspx
8,Magherabuoy House Hotel,028 7082 3507,"41 Magheraboy Road, Portrush, Co. Antrim",Portrush,Yes,Yes,19b7bf8b-6d5b-48a2-8be3-e4782c3418c0,http://www.magherabuoy.co.uk/weddings/overview-14
9,Bushtown House Hotel,(028) 7035 8367,"283 Drumcroon Road, Coleraine, Co. Londonderry",Coleraine,Yes,Yes,f0f0fa8a-5a4e-4128-b9b2-0a278f927dbf,http://bushtownhotel.com/weddings
10,Manor House,(028) 2954 0205,"69 Bridge Street, Kilrea, Co. Londonderry",Kilrea,Yes,Yes,80e443b2-7950-44d7-8689-28e0b5e683ad,http://manorhousekilrea.com/
13,The Arcadia,07525 496 968,"East Strand, Portrush, Co. Antrim",Portrush,Yes,Yes,112c4226-3035-46b1-888a-93e6d7f017ef,http://www.arcadiaportrush.co.uk/weddings/
14,Portstewart Golf Club,(028) 7083 2015,"117 Strand Road, Portstewart, Co.Londonderry",Portstewart,Yes,Yes,ffc7ce2c-096d-4bf1-88a7-ffc8e9831dc2,http://www.portstewartgc.co.uk/the-club/weddings/
15,Riverside Theatre,(028) 7012 3123,"Ulster University, Coleraine, Co Londonderry",Coleraine,Yes,Yes,32e8977e-110d-425c-a588-63100a12f69d,http://www.riversidetheatre.org.uk/about.asp
17,Roe Park Resort,(0­28) 7772 2222,"10 Lisnakilly Road, Limavady, Co. Londonderry",Limavady,Yes,Yes,8e4983e0-05a1-41d1-8fb2-08be5928a0f4,http://www.roeparkresort.com/weddings
18,Drummond Hotel,(028) 7772 2121,"2 Main Street, Ballykelly, Co. Londonderry",Ballykelly,Yes,No,ad2600d1-2ea9-4ec2-9d5f-9de6ff4802e7,http://www.drummondhotel.com/weddings/
19,Drenagh,(028) 7772 2649,"Drenagh Estate, Limavady, Co. Lodonderry",Limavady,Yes,Yes,fbd007b2-32c2-4ef1-8eb9-b52674aaf99e,http://www.drenagh.com/weddings-at-drenagh/
22,The Marine Hotel,(028) 2076 2222,"1-3 North Street, Ballycastle, Co. Antrim",Ballycastle,Yes,Yes,fcdb33d1-fd74-4a08-9bfb-66e671dcdef9,http://www.marinehotelballycastle.com/weddings.php
23,Laragh Lodge,(028) 2175 8221,"120 Glen Road, Glenariffe, Co. Antrim",Glenariffe,Yes,Yes,18ba6199-df80-4765-b28b-06bdd11e2911,http://www.laraghlodge.co.uk/
25,The Glens Hotel,(028) 2177 1223,"6 Coast Road, Cushendall, Co. Antrim",Cushendall,Yes,No,e19c426d-87cf-4b20-96b2-65a072483503,http://theglenshotel.com/weddings/
28,Portnagree House,(028) 2076 8525,"14 Bayview Road, Ballycastle, Co. Antrim",Ballycastle,Yes,Yes,59a8227a-42b7-407f-a428-d9759d5af3c6,https://www.causewaycoastandglens.gov.uk/live
29,Portrush Town Hall,(028) 7082 3333,"2 Kerr Street, Portrush, Co. Antrim",Portrush,Yes,Yes,813cf23e-063d-48a0-875e-5d621ad31649,https://www.causewaycoastandglens.gov.uk/live
31,The Hedges Hotel,(028) 2075 2222,"139a Ballinlea Road, Stranocum, Co. Antrim",Stranocum,Yes,Yes,3b52ca3b-779c-43c0-a76d-3d9074386969,http://thehedgeshotel.com/weddings/
32,Mussenden Temple,(028) 7084 8728,"Mussenden Road, Castlerock, Co. Antrim",Castlerock,Yes,Yes,bc2368d7-3f6d-42fb-9d45-21c75e3932b9,https://www.facebook.com/DownhillNationalTrust/
33,Gracehill House,(028) 2075 1209,"141 Ballinlea Road, Stranocum, Co. Antrim",Stranocum,Yes,No,48255596-2c13-48ea-b017-e4298a8f149b,http://www.gracehillhouse.com/weddings/
34,The Scenic Inn,(028) 2075 1260,"38 Fivey Road, Armoy, Co. Antrim",Armoy,Yes,Yes,e699b5a4-4546-4021-889e-bee1ccc145fe,http://www.thescenicinn.com/
35,The Causeway Hotel,(028) 2073 1210,"40 Causeway Road, Bushmills, Co. Antrim",Bushmills,Yes,Yes,432797ae-aad1-4a40-928c-f1d72c608390,http://www.thecausewayhotel.com/
36,Brown Trout Golf and Country Club,(028) 7086 8209,"209 Agivey Road, Aghadowey, Co. Londonderry",Aghadowey,Yes,Yes,66406ada-de67-48f8-b3ab-631358467860,http://www.browntroutinn.com/
