ID,TYPE,MATERIAL,OWNER,POINT,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)"
353864,Home plate,Plastic,Parks,POINT (-113.51930072566586 53.4822941643413),110,13,6,6,2
551608,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.68497229451769 53.53402511368711),177,158,3,4,1
523573,Basketball Net,Metal,School Board,POINT (-113.42893443547842 53.5479990379126),67,103,4,5,11
32025,Funnel ball,Plastic,School Board,POINT (-113.50308541998182 53.59668461362266),37,224,1,2,5
744433,Basketball Net,Metal,Parks,POINT (-113.46473698887695 53.53252762949974),342,126,4,5,11
501025,Net Post,Metal,Parks,POINT (-113.4527249454763 53.56367567623769),130,153,4,3,10
32005,Funnel ball,Unknown,Parks,POINT (-113.4644888504436 53.574708794396784),35,154,4,3,10
510625,Net Post,Plastic,Parks,POINT (-113.44364064571252 53.45606348170069),55,238,9,7,3
473496,Home plate,Plastic,Parks,POINT (-113.52220868528245 53.61906171833043),190,122,1,1,6
532427,Net Post,Metal,Parks,POINT (-113.43666343520508 53.53095986568154),23,123,7,5,11
522805,Skateboard Fixture,Metal,Parks,POINT (-113.50637307315765 53.47288798775402),143,20,6,6,2
31712,Basketball Net,Metal,Parks,POINT (-113.47694011040042 53.607529698077954),1,162,1,2,6
495006,Frisbee Golf,Metal,Parks,POINT (-113.38783872876192 53.557824624636886),195,176,4,3,10
518028,Home plate,Plastic,Parks,POINT (-113.62627767580605 53.50865832218441),60,97,5,4,8
815407,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.68854818682131 53.53610125668181),177,158,3,4,1
531346,Funnel ball,Plastic,Parks,POINT (-113.55745128458321 53.55513759875922),14,195,3,5,9
336637,Basketball Net,Metal,School Board,POINT (-113.44890224498118 53.59171416886573),242,156,2,3,10
466182,Net Post,Metal,Community League,POINT (-113.50255225187257 53.50155047505895),16,10,6,5,2
533844,Net Post,Metal,Citizen Services,POINT (-113.49821864320722 53.511391147295654),13,10,6,5,11
534264,Net Post,Metal,Community League,POINT (-113.48147055285679 53.5134129777585),156,66,7,5,3
32019,Basketball Net,Metal,Parks,POINT (-113.5026835976023 53.588712853614545),36,223,1,2,5
363249,Basketball Net,Metal,Parks,POINT (-113.63442403748337 53.50569744601468),135,97,5,4,8
572766,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.45918092960017 53.60254246978687),15,165,2,3,10
433046,Basketball Net,Metal,Parks,POINT (-113.56647294265257 53.515907410882015),172,23,5,5,8
619301,Basketball Net,Unknown,Parks,POINT (-113.4732253878175 53.62665444404743),106,163,1,2,6
,Other,Wood,Unknown,POINT (-113.55819082409181 53.412826539546735),210,82,8,6,12
,Frisbee Golf,Metal,Unknown,POINT (-113.40093509142922 53.42729261611688),213,6,9,7,4
465176,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.58138129585517 53.54715008120608),84,188,3,1,1
,Basketball Net,Metal,Unknown,POINT (-113.48787811403585 53.56067574971568),42,130,4,3,10
,Home plate,Plastic,Unknown,POINT (-113.51005406469912 53.485930866850055),26,19,6,5,2
31697,Basketball Net,Metal,Community League,POINT (-113.45668241054011 53.58800249698197),242,156,2,3,10
,Chess Table,Metal,Unknown,POINT (-113.48957074206648 53.574389491823716),42,155,4,3,10
750081,Other,Wood,Parks,POINT (-113.45142369626801 53.55199745180592),289,1,4,5,11
420513,Home plate,Plastic,Parks,POINT (-113.57999033289371 53.4562441784131),284,69,8,6,12
340564,Basketball Net,Metal,Community League,POINT (-113.58484468286267 53.52127719866496),39,83,5,4,1
341137,Home plate,Plastic,Parks,POINT (-113.48422951689649 53.59114621595325),38,152,1,2,10
31615,Other,Metal,Parks,POINT (-113.58954309850884 53.508852472795354),68,16,5,4,8
412960,Home plate,Plastic,Parks,POINT (-113.38400909892285 53.4806085393033),76,135,7,7,4
476263,Home plate,Plastic,Parks,POINT (-113.3910425849814 53.61288263734105),336,184,2,3,7
31896,Basketball Net,Metal,Parks,POINT (-113.55535432406728 53.56809988500455),19,209,3,1,5
,Basketball Net,Metal,Unknown,POINT (-113.68362675834227 53.502710533719636),393,142,5,4,8
514184,Tetherball Pole,Metal,School Board,POINT (-113.6355513589425 53.517798709483344),34,94,3,4,1
485152,Net Post,Metal,Parks,POINT (-113.51453636650656 53.51976806720597),286,9,6,5,11
434705,Home plate,Plastic,Parks,POINT (-113.44799453223806 53.47904066520757),58,240,7,7,3
473498,Home plate,Plastic,Parks,POINT (-113.5238319385115 53.61795725990427),190,122,1,1,6
518035,Pitching Board,Plastic,Parks,POINT (-113.62359462117092 53.50651945153297),60,97,5,4,8
355661,Home plate,Plastic,Parks,POINT (-113.49298842232582 53.52152726197266),315,12,6,5,11
522647,Home plate,Plastic,Parks,POINT (-113.45401184118222 53.49921756482913),94,241,7,5,3
31626,Tetherball Pole,Metal,School Board,POINT (-113.4411276044961 53.44854257202467),117,34,9,7,3
469457,Basketball Net,Metal,Parks,POINT (-113.52729442555024 53.61249853099691),170,225,1,1,5
515900,Funnel ball,Metal,Parks,POINT (-113.43574707340602 53.59396004615684),215,169,2,3,7
437489,Net Post,Plastic,Parks,POINT (-113.44405003940528 53.45606455878477),55,238,9,7,3
501029,Chin-up Bar,Metal,School Board,POINT (-113.44898192667446 53.56036883598205),130,153,4,3,10
501948,Basketball Net,Plastic,Parks,POINT (-113.53131990227831 53.55434206889143),164,47,3,5,9
523572,Basketball Net,Metal,School Board,POINT (-113.42907142258112 53.5479841002508),67,103,4,5,11
532908,Skateboard Fixture,Metal,Parks,POINT (-113.53677081430308 53.57436454212673),18,106,3,1,5
437483,Pitching Board,Wood,Parks,POINT (-113.44184821724905 53.45488782618758),55,238,9,7,3
522987,Basketball Net,Metal,Parks,POINT (-113.60830116821822 53.51524042035603),9,98,5,4,8
758546,Mileage Marker,Other,Citizen Services,POINT (-113.52019868611735 53.53444517568614),344,144,4,5,9
432759,Tetherball Pole,Metal,Parks,POINT (-113.44217899503977 53.460614859364156),53,56,9,7,3
550988,Basketball Net,Metal,School Board,POINT (-113.52211630849239 53.48853622824083),51,197,6,5,2
462607,Net Post,Metal,Parks,POINT (-113.55943642249994 53.56092009181083),19,209,3,1,5
551002,Basketball Net,Unknown,School Board,POINT (-113.52350718108245 53.49161819539607),51,197,6,5,2
498334,Home plate,Plastic,Parks,POINT (-113.391272092259 53.562677000825836),232,176,4,3,10
597487,Net Post,Metal,Parks,POINT (-113.56272889523817 53.47788095480868),194,160,6,6,12
31836,Funnel ball,Unknown,School Board,POINT (-113.5675290036261 53.52609003855943),32,115,5,5,1
414430,Home plate,Plastic,Parks,POINT (-113.48158119369765 53.46237976134441),115,237,9,7,3
,Chess Table,Metal,Unknown,POINT (-113.54475516701059 53.61111917668124),189,216,1,1,5
535312,Skateboard Fixture,Metal,Parks,POINT (-113.38406215664288 53.45796694059692),230,134,7,7,4
523319,Net Post,Metal,Parks,POINT (-113.45194581706821 53.543210932219885),293,1,4,5,11
516408,Home plate,Plastic,Parks,POINT (-113.40163052805046 53.569819657139995),252,175,4,3,10
31729,Funnel ball,Plastic,School Board,POINT (-113.45666487088042 53.606000183438674),15,165,2,3,10
557143,Home plate,Plastic,Parks,POINT (-113.40837151976682 53.47834635180971),125,58,7,7,3
343110,Tetherball Pole,Metal,Parks,POINT (-113.59560873784125 53.525918388614244),27,99,5,4,1
739038,Pitching Board,Plastic,Parks,POINT (-113.40233311648862 53.54637532598101),394,30,4,5,11
31658,Skateboard Fixture,Metal,Parks,POINT (-113.40796814133618 53.483422501113154),275,58,7,7,3
485139,Net Post,Metal,Parks,POINT (-113.514065689399 53.519381860936186),286,9,6,5,11
,Basketball Net,Metal,Unknown,POINT (-113.50709012815989 53.475909055719185),142,20,6,6,2
485144,Net Post,Metal,Parks,POINT (-113.51356691938757 53.519382062230854),286,9,6,5,11
427742,Basketball Net,Metal,Community League,POINT (-113.56862548890038 53.5327777375576),75,85,5,5,1
31568,Basketball Net,Metal,Community League,POINT (-113.6214519098522 53.516455498266936),10,96,3,4,8
514182,Basketball Net,Metal,School Board,POINT (-113.63551077204737 53.517964892376604),34,94,3,4,1
438922,Skateboard Fixture,Metal,Parks,POINT (-113.63775543277418 53.497775005683685),69,25,5,4,8
